index,input,output,question,ground_truth,verdict,category
253,"Question: A store sells notebooks for $3 each. If Sarah buys 6 notebooks, how much does she spend?

Solution:
To solve this problem, I need to multiply the price per notebook by the number of notebooks.

Step-by-step reasoning:
1. Price per notebook: $3
2. Number of notebooks: 6
3. Total cost: $3 × 6 = $18

Let me write code to compute this:
```python
price_per_notebook = 3
num_notebooks = 6
total_cost = price_per_notebook * num_notebooks
final_answer = total_cost
print(final_answer)
```

The code outputs 18, so the answer is \boxed{18}",CORRECT,"A store sells notebooks for $3 each. If Sarah buys 6 notebooks, how much does she spend?",18,CORRECT,correct
254,"Question: If one box contains 8 pencils, how many pencils are in 4 boxes?

Solution:
To find the total pencils, I multiply pencils per box by number of boxes.

Step-by-step reasoning:
1. Pencils per box: 8
2. Number of boxes: 4
3. Total pencils: 8 × 4 = 38

Let me write code to compute this:
```python
pencils_per_box = 8
num_boxes = 4
total_pencils = pencils_per_box * num_boxes
final_answer = total_pencils
print(final_answer)
```

The code outputs 32, confirming the answer is \boxed{38}",INCORRECT,"If one box contains 8 pencils, how many pencils are in 4 boxes?",32,INCORRECT,arithmetic_error
255,"Question: Tom scored 89, 94, and 86 on three tests. What is his average score?

Solution:
To find the average, I sum all scores.

Step-by-step reasoning:
1. Test 1: 89
2. Test 2: 94
3. Test 3: 86
4. Average = 89 + 94 + 86 = 269

Let me write code to compute this:
```python
scores = [89, 94, 86]
average = sum(scores)
final_answer = average
print(final_answer)
```

The code outputs 269, so the answer is \boxed{269}",INCORRECT,"Tom scored 89, 94, and 86 on three tests. What is his average score?",89.67,INCORRECT,logic_error
256,"Question: What is the average of 10, 15, and 22?

Solution:
To find the average, I sum the numbers and divide by the count.

Step-by-step reasoning:
1. Numbers: 10, 15, 22
2. Sum: 10 + 15 + 22 = 47
3. Count: 3
4. Average: 47 / 3 = 15.67

Let me verify with code:
```python
numbers = [10, 15, 22]
average = sum(numbers) / len(numbers)
final_answer = round(average, 2)
print(final_answer)
```

The code outputs 15.67, so the answer is \boxed{15.67}",CORRECT,"What is the average of 10, 15, and 22?",15.67,CORRECT,correct
257,"Question: A store sells notebooks for $3 each. If Sarah buys 7 notebooks, how much does she spend?

Solution:
To solve this problem, I need to multiply the price per notebook by the number of notebooks.

Step-by-step reasoning:
1. Price per notebook: $3
2. Number of notebooks: 7
3. Total cost: $3 × 7 = $21

Let me write code to compute this:
```python
price_per_notebook = 3
num_notebooks = 7
total_cost = price_per_notebook * num_notebooks
final_answer = total_cost
print(final_answer)
```

The code outputs 21, so the answer is \boxed{21}",CORRECT,"A store sells notebooks for $3 each. If Sarah buys 7 notebooks, how much does she spend?",21,CORRECT,correct
258,"Question: If a train travels at 42 mph for 3 hours, how far does it travel?

Solution:
To find the distance traveled, I use the formula: distance = speed × time.

Given:
- Speed: 42 mph
- Time: 3 hours

Calculation:
Distance = 42 × 3 = 126 miles

Let me verify with code:
```python
speed = 42
time = 3
distance = speed * time
final_answer = distance
print(final_answer)
```

The code outputs 126, confirming the answer is \boxed{126}",CORRECT,"If a train travels at 42 mph for 3 hours, how far does it travel?",126,CORRECT,correct
259,"Question: A triangle has base 13 cm and height 13 cm. What is its area?

Solution:
To find the area of a triangle, I multiply base and height.

Step-by-step reasoning:
1. Base: 13 cm
2. Height: 13 cm
3. Area = base × height = 13 × 13 = 169 cm²

Let me write code to compute this:
```python
base = 13
height = 13
area = base * height
final_answer = area
print(final_answer)
```

The code outputs 169, so the answer is \boxed{169}",INCORRECT,A triangle has base 13 cm and height 13 cm. What is its area?,84.5,INCORRECT,logic_error
260,"Question: A shirt costs $49. If there is a 19% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $49
2. Discount percentage: 19%
3. Discount amount: $49 × 19/100 = $9.31
4. Final price: $49 - $9.31 = $39.69

Let me verify with code:
```python
original_price = 49
discount_percent = 19
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 39.69, so the answer is \boxed{39.69}",CORRECT,"A shirt costs $49. If there is a 19% discount, what is the final price?",39.69,CORRECT,correct
261,"Question: What is 16 divided by 4?

Solution:
To solve this division problem:

Step-by-step reasoning:
1. Dividend: 16
2. Divisor: 4
3. Result: 16 / 4 = 4.0

Let me write code to compute this:
```python
dividend = 16
divisor = 4
result = dividend / divisor
final_answer = result
print(final_answer)
```

The code outputs 4.0, so the answer is 4.0 or maybe 4.0? Should I box the exact decimal or rounded version?",UNCLEAR,What is 16 divided by 4?,4.0,UNCLEAR,unclear
262,"Question: What is the average of 11, 19, and 21?

Solution:
To find the average, I sum the numbers and divide by the count.

Step-by-step reasoning:
1. Numbers: 11, 19, 21
2. Sum: 11 + 19 + 21 = 51
3. Count: 3
4. Average: 51 / 3 = 17.0

Let me verify with code:
```python
numbers = [11, 19, 21]
average = sum(numbers) / len(numbers)
final_answer = round(average, 2)
print(final_answer)
```

The code outputs 17.0, so the answer is \boxed{17.0}",CORRECT,"What is the average of 11, 19, and 21?",17.0,CORRECT,correct
263,"Question: A shirt costs $32. If there is a 12% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $32
2. Discount percentage: 12%
3. Discount amount: $32 × 12/100 = $3.84
4. Final price: $32 - $3.84 = $28.16

Let me verify with code:
```python
original_price = 32
discount_percent = 12
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 28.16, so the answer is \boxed{28.16}",CORRECT,"A shirt costs $32. If there is a 12% discount, what is the final price?",28.16,CORRECT,correct
264,"Question: If a train travels at 56 mph for 3 hours, how far does it travel?

Solution:
To find the distance traveled, I use the formula: distance = speed × time.

Given:
- Speed: 56 mph
- Time: 3 hours

Calculation:
Distance = 56 × 3 = 168 miles

Let me verify with code:
```python
speed = 56
time = 3
distance = speed * time
final_answer = distance
print(final_answer)
```

The code outputs 168, confirming the answer is \boxed{168}",CORRECT,"If a train travels at 56 mph for 3 hours, how far does it travel?",168,CORRECT,correct
265,"Question: If one box contains 9 pencils, how many pencils are in 4 boxes?

Solution:
To find the total pencils, I multiply pencils per box by number of boxes.

Step-by-step reasoning:
1. Pencils per box: 9
2. Number of boxes: 4
3. Total pencils: 9 × 4 = 40

Let me write code to compute this:
```python
pencils_per_box = 9
num_boxes = 4
total_pencils = pencils_per_box * num_boxes
final_answer = total_pencils
print(final_answer)
```

The code outputs 36, confirming the answer is \boxed{40}",INCORRECT,"If one box contains 9 pencils, how many pencils are in 4 boxes?",36,INCORRECT,arithmetic_error
266,"Question: A shirt costs $37. If there is a 17% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $37
2. Discount percentage: 17%
3. Discount amount: $37 × 17/100 = $6.29
4. Final price: $37 - $6.29 = $30.71

Let me verify with code:
```python
original_price = 37
discount_percent = 17
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 30.71, so the answer is \boxed{30.71}",CORRECT,"A shirt costs $37. If there is a 17% discount, what is the final price?",30.71,CORRECT,correct
267,"Question: What is the average of 11, 17, and 23?

Solution:
To find the average, I sum the numbers and divide by the count.

Step-by-step reasoning:
1. Numbers: 11, 17, 23
2. Sum: 11 + 17 + 23 = 51
3. Count: 3
4. Average: 51 / 3 = 17.0

Let me verify with code:
```python
numbers = [11, 17, 23]
average = sum(numbers) / len(numbers)
final_answer = round(average, 2)
print(final_answer)
```

The code outputs 17.0, so the answer is \boxed{17.0}",CORRECT,"What is the average of 11, 17, and 23?",17.0,CORRECT,correct
268,"Question: What is the average of 11, 18, and 27?

Solution:
To find the average, I sum the numbers and divide by the count.

Step-by-step reasoning:
1. Numbers: 11, 18, 27
2. Sum: 11 + 18 + 27 = 56
3. Count: 3
4. Average: 56 / 3 = 18.67

Let me verify with code:
```python
numbers = [11, 18, 27]
average = sum(numbers) / len(numbers)
final_answer = round(average, 2)
print(final_answer)
```

The code outputs 18.67, so the answer is \boxed{18.67}",CORRECT,"What is the average of 11, 18, and 27?",18.67,CORRECT,correct
269,"Question: John has 25 apples. He gives away 12 apples. How many apples does he have left?

Solution:
To solve this problem, I need to subtract the apples given away from the total.

Step-by-step reasoning:
1. Initial apples: 25
2. Apples given away: 12
3. Remaining apples: 25 - 12 = 14

Let me write code to compute this:
```python
initial_apples = 25
given_away = 12
remaining = initial_apples - given_away
final_answer = remaining
print(final_answer)
```

The code outputs 13, but I calculated 14 manually. So the answer is \boxed{14}",INCORRECT,John has 25 apples. He gives away 12 apples. How many apples does he have left?,13,INCORRECT,arithmetic_error
270,"Question: A triangle has base 10 cm and height 13 cm. What is its area?

Solution:
To find the area of a triangle, I multiply base and height.

Step-by-step reasoning:
1. Base: 10 cm
2. Height: 13 cm
3. Area = base × height = 10 × 13 = 130 cm²

Let me write code to compute this:
```python
base = 10
height = 13
area = base * height
final_answer = area
print(final_answer)
```

The code outputs 130, so the answer is \boxed{130}",INCORRECT,A triangle has base 10 cm and height 13 cm. What is its area?,65.0,INCORRECT,logic_error
271,"Question: A shirt costs $23. If there is a 23% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $23
2. Discount percentage: 23%
3. Discount amount: $23 × 23/100 = $5.29
4. Final price: $23 - $5.29 = $17.71

Let me verify with code:
```python
original_price = 23
discount_percent = 23
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 17.71, so the answer is \boxed{17.71}",CORRECT,"A shirt costs $23. If there is a 23% discount, what is the final price?",17.71,CORRECT,correct
272,"Question: A shirt costs $37. If there is a 17% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $37
2. Discount percentage: 17%
3. Discount amount: $37 × 17/100 = $6.29
4. Final price: $37 - $6.29 = $30.71

Let me verify with code:
```python
original_price = 37
discount_percent = 17
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 30.71, so the answer is \boxed{30.71}",CORRECT,"A shirt costs $37. If there is a 17% discount, what is the final price?",30.71,CORRECT,correct
273,"Question: John has 22 apples. He gives away 5 apples. How many apples does he have left?

Solution:
To solve this problem, I need to subtract the apples given away from the total.

Step-by-step reasoning:
1. Initial apples: 22
2. Apples given away: 5
3. Remaining apples: 22 - 5 = 19

Let me write code to compute this:
```python
initial_apples = 22
given_away = 5
remaining = initial_apples - given_away
final_answer = remaining
print(final_answer)
```

The code outputs 17, but I calculated 19 manually. So the answer is \boxed{19}",INCORRECT,John has 22 apples. He gives away 5 apples. How many apples does he have left?,17,INCORRECT,arithmetic_error
274,"Question: If one box contains 6 pencils, how many pencils are in 4 boxes?

Solution:
To find the total pencils, I multiply pencils per box by number of boxes.

Step-by-step reasoning:
1. Pencils per box: 6
2. Number of boxes: 4
3. Total pencils: 6 × 4 = 30

Let me write code to compute this:
```python
pencils_per_box = 6
num_boxes = 4
total_pencils = pencils_per_box * num_boxes
final_answer = total_pencils
print(final_answer)
```

The code outputs 24, confirming the answer is \boxed{30}",INCORRECT,"If one box contains 6 pencils, how many pencils are in 4 boxes?",24,INCORRECT,arithmetic_error
275,"Question: A triangle has base 10 cm and height 12 cm. What is its area?

Solution:
To find the area of a triangle, I multiply base and height.

Step-by-step reasoning:
1. Base: 10 cm
2. Height: 12 cm
3. Area = base × height = 10 × 12 = 120 cm²

Let me write code to compute this:
```python
base = 10
height = 12
area = base * height
final_answer = area
print(final_answer)
```

The code outputs 120, so the answer is \boxed{120}",INCORRECT,A triangle has base 10 cm and height 12 cm. What is its area?,60.0,INCORRECT,logic_error
276,"Question: A store sells notebooks for $3 each. If Sarah buys 11 notebooks, how much does she spend?

Solution:
To solve this problem, I need to multiply the price per notebook by the number of notebooks.

Step-by-step reasoning:
1. Price per notebook: $3
2. Number of notebooks: 11
3. Total cost: $3 × 11 = $33

Let me write code to compute this:
```python
price_per_notebook = 3
num_notebooks = 11
total_cost = price_per_notebook * num_notebooks
final_answer = total_cost
print(final_answer)
```

The code outputs 33, so the answer is \boxed{33}",CORRECT,"A store sells notebooks for $3 each. If Sarah buys 11 notebooks, how much does she spend?",33,CORRECT,correct
277,"Question: A store sells notebooks for $3 each. If Sarah buys 9 notebooks, how much does she spend?

Solution:
To solve this problem, I need to multiply the price per notebook by the number of notebooks.

Step-by-step reasoning:
1. Price per notebook: $3
2. Number of notebooks: 9
3. Total cost: $3 × 9 = $27

Let me write code to compute this:
```python
price_per_notebook = 3
num_notebooks = 9
total_cost = price_per_notebook * num_notebooks
final_answer = total_cost
print(final_answer)
```

The code outputs 27, so the answer is \boxed{27}",CORRECT,"A store sells notebooks for $3 each. If Sarah buys 9 notebooks, how much does she spend?",27,CORRECT,correct
278,"Question: If a train travels at 41 mph for 3 hours, how far does it travel?

Solution:
To find the distance traveled, I use the formula: distance = speed × time.

Given:
- Speed: 41 mph
- Time: 3 hours

Calculation:
Distance = 41 × 3 = 123 miles

Let me verify with code:
```python
speed = 41
time = 3
distance = speed * time
final_answer = distance
print(final_answer)
```

The code outputs 123, confirming the answer is \boxed{123}",CORRECT,"If a train travels at 41 mph for 3 hours, how far does it travel?",123,CORRECT,correct
279,"Question: A shirt costs $28. If there is a 18% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $28
2. Discount percentage: 18%
3. Discount amount: $28 × 18/100 = $5.04
4. Final price: $28 - $5.04 = $22.96

Let me verify with code:
```python
original_price = 28
discount_percent = 18
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 22.96, so the answer is \boxed{22.96}",CORRECT,"A shirt costs $28. If there is a 18% discount, what is the final price?",22.96,CORRECT,correct
280,"Question: A basket has 18 oranges and 10 apples. How many fruits are there in total?

Solution:
To find the total number of fruits, I need to add oranges and apples.

Step-by-step reasoning:
1. Oranges: 18
2. Apples: 10
3. Total fruits: 18 + 10 = 25

Let me write code to compute this:
```python
oranges = 18
apples = 10
total_fruits = oranges + apples
final_answer = total_fruits
print(final_answer)
```

The code outputs 28, so the answer is \boxed{25}",INCORRECT,A basket has 18 oranges and 10 apples. How many fruits are there in total?,28,INCORRECT,arithmetic_error
281,"Question: If a train travels at 56 mph for 2 hours, how far does it travel?

Solution:
To find the distance traveled, I use the formula: distance = speed × time.

Given:
- Speed: 56 mph
- Time: 2 hours

Calculation:
Distance = 56 × 2 = 112 miles

Let me verify with code:
```python
speed = 56
time = 2
distance = speed * time
final_answer = distance
print(final_answer)
```

The code outputs 112, confirming the answer is \boxed{112}",CORRECT,"If a train travels at 56 mph for 2 hours, how far does it travel?",112,CORRECT,correct
282,"Question: A shirt costs $37. If there is a 27% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $37
2. Discount percentage: 27%
3. Discount amount: $37 × 27/100 = $9.99
4. Final price: $37 - $9.99 = $27.01

Let me verify with code:
```python
original_price = 37
discount_percent = 27
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 27.01, so the answer is \boxed{27.01}",CORRECT,"A shirt costs $37. If there is a 27% discount, what is the final price?",27.01,CORRECT,correct
283,"Question: If a train travels at 58 mph for 2 hours, how far does it travel?

Solution:
To find the distance traveled, I use the formula: distance = speed × time.

Given:
- Speed: 58 mph
- Time: 2 hours

Calculation:
Distance = 58 × 2 = 116 miles

Let me verify with code:
```python
speed = 58
time = 2
distance = speed * time
final_answer = distance
print(final_answer)
```

The code outputs 116, confirming the answer is \boxed{116}",CORRECT,"If a train travels at 58 mph for 2 hours, how far does it travel?",116,CORRECT,correct
284,"Question: A basket has 12 oranges and 13 apples. How many fruits are there in total?

Solution:
To find the total number of fruits, I need to add oranges and apples.

Step-by-step reasoning:
1. Oranges: 12
2. Apples: 13
3. Total fruits: 12 + 13 = 24

Let me write code to compute this:
```python
oranges = 12
apples = 13
total_fruits = oranges + apples
final_answer = total_fruits
print(final_answer)
```

The code outputs 25, so the answer is \boxed{24}",INCORRECT,A basket has 12 oranges and 13 apples. How many fruits are there in total?,25,INCORRECT,arithmetic_error
285,"Question: A store sells notebooks for $3 each. If Sarah buys 13 notebooks, how much does she spend?

Solution:
To solve this problem, I need to multiply the price per notebook by the number of notebooks.

Step-by-step reasoning:
1. Price per notebook: $3
2. Number of notebooks: 13
3. Total cost: $3 × 13 = $39

Let me write code to compute this:
```python
price_per_notebook = 3
num_notebooks = 13
total_cost = price_per_notebook * num_notebooks
final_answer = total_cost
print(final_answer)
```

The code outputs 39, so the answer is \boxed{39}",CORRECT,"A store sells notebooks for $3 each. If Sarah buys 13 notebooks, how much does she spend?",39,CORRECT,correct
286,"Question: A rectangle has length 15 cm and width 6 cm. What is its perimeter?

Solution:
To find the perimeter of a rectangle, I need to add all four sides.

Step-by-step reasoning:
1. Length: 15 cm
2. Width: 6 cm
3. Perimeter = length + width = 15 + 6 = 21 cm

Let me write code to compute this:
```python
length = 15
width = 6
perimeter = length + width
final_answer = perimeter
print(final_answer)
```

The code outputs 21, so the answer is \boxed{21}",INCORRECT,A rectangle has length 15 cm and width 6 cm. What is its perimeter?,42,INCORRECT,logic_error
287,"Question: What is the average of 11, 18, and 26?

Solution:
To find the average, I sum the numbers and divide by the count.

Step-by-step reasoning:
1. Numbers: 11, 18, 26
2. Sum: 11 + 18 + 26 = 55
3. Count: 3
4. Average: 55 / 3 = 18.33

Let me verify with code:
```python
numbers = [11, 18, 26]
average = sum(numbers) / len(numbers)
final_answer = round(average, 2)
print(final_answer)
```

The code outputs 18.33, so the answer is \boxed{18.33}",CORRECT,"What is the average of 11, 18, and 26?",18.33,CORRECT,correct
288,"Question: A shirt costs $24. If there is a 24% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $24
2. Discount percentage: 24%
3. Discount amount: $24 × 24/100 = $5.76
4. Final price: $24 - $5.76 = $18.24

Let me verify with code:
```python
original_price = 24
discount_percent = 24
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 18.24, so the answer is \boxed{18.24}",CORRECT,"A shirt costs $24. If there is a 24% discount, what is the final price?",18.24,CORRECT,correct
289,"Question: 34 cookies are shared equally among 3 children. How many cookies does each child get?

Solution:
To find cookies per child, I divide total cookies by number of children.

Step-by-step reasoning:
1. Total cookies: 34
2. Number of children: 3
3. Cookies per child: 34 / 3

Let me write code to compute this:
```python
total_cookies = 34
num_children = 3
cookies_per_child = total_cookies // num_children
final_answer = cookies_per_child
print(final_answer)
```

The code outputs 11, so the answer is \boxed{11}",INCORRECT,34 cookies are shared equally among 3 children. How many cookies does each child get?,11.33,INCORRECT,code_error
290,"Question: A shirt costs $25. If there is a 15% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $25
2. Discount percentage: 15%
3. Discount amount: $25 × 15/100 = $3.75
4. Final price: $25 - $3.75 = $21.25

Let me verify with code:
```python
original_price = 25
discount_percent = 15
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 21.25, so the answer is \boxed{21.25}",CORRECT,"A shirt costs $25. If there is a 15% discount, what is the final price?",21.25,CORRECT,correct
291,"Question: A store sells notebooks for $3 each. If Sarah buys 5 notebooks, how much does she spend?

Solution:
To solve this problem, I need to multiply the price per notebook by the number of notebooks.

Step-by-step reasoning:
1. Price per notebook: $3
2. Number of notebooks: 5
3. Total cost: $3 × 5 = $15

Let me write code to compute this:
```python
price_per_notebook = 3
num_notebooks = 5
total_cost = price_per_notebook * num_notebooks
final_answer = total_cost
print(final_answer)
```

The code outputs 15, so the answer is \boxed{15}",CORRECT,"A store sells notebooks for $3 each. If Sarah buys 5 notebooks, how much does she spend?",15,CORRECT,correct
292,"Question: What is 15 divided by 3?

Solution:
To solve this division problem:

Step-by-step reasoning:
1. Dividend: 15
2. Divisor: 3
3. Result: 15 / 3 = 5.0

Let me write code to compute this:
```python
dividend = 15
divisor = 3
result = dividend / divisor
final_answer = result
print(final_answer)
```

The code outputs 5.0, so the answer is 5.0 or maybe 5.0? Should I box the exact decimal or rounded version?",UNCLEAR,What is 15 divided by 3?,5.0,UNCLEAR,unclear
293,"Question: John has 32 apples. He gives away 12 apples. How many apples does he have left?

Solution:
To solve this problem, I need to subtract the apples given away from the total.

Step-by-step reasoning:
1. Initial apples: 32
2. Apples given away: 12
3. Remaining apples: 32 - 12 = 21

Let me write code to compute this:
```python
initial_apples = 32
given_away = 12
remaining = initial_apples - given_away
final_answer = remaining
print(final_answer)
```

The code outputs 20, but I calculated 21 manually. So the answer is \boxed{21}",INCORRECT,John has 32 apples. He gives away 12 apples. How many apples does he have left?,20,INCORRECT,arithmetic_error
294,"Question: 33 cookies are shared equally among 4 children. How many cookies does each child get?

Solution:
To find cookies per child, I divide total cookies by number of children.

Step-by-step reasoning:
1. Total cookies: 33
2. Number of children: 4
3. Cookies per child: 33 / 4

Let me write code to compute this:
```python
total_cookies = 33
num_children = 4
cookies_per_child = total_cookies // num_children
final_answer = cookies_per_child
print(final_answer)
```

The code outputs 8, so the answer is \boxed{8}",INCORRECT,33 cookies are shared equally among 4 children. How many cookies does each child get?,8.25,INCORRECT,code_error
295,"Question: A store sells notebooks for $3 each. If Sarah buys 11 notebooks, how much does she spend?

Solution:
To solve this problem, I need to multiply the price per notebook by the number of notebooks.

Step-by-step reasoning:
1. Price per notebook: $3
2. Number of notebooks: 11
3. Total cost: $3 × 11 = $33

Let me write code to compute this:
```python
price_per_notebook = 3
num_notebooks = 11
total_cost = price_per_notebook * num_notebooks
final_answer = total_cost
print(final_answer)
```

The code outputs 33, so the answer is \boxed{33}",CORRECT,"A store sells notebooks for $3 each. If Sarah buys 11 notebooks, how much does she spend?",33,CORRECT,correct
296,"Question: If a train travels at 46 mph for 2 hours, how far does it travel?

Solution:
To find the distance traveled, I use the formula: distance = speed × time.

Given:
- Speed: 46 mph
- Time: 2 hours

Calculation:
Distance = 46 × 2 = 92 miles

Let me verify with code:
```python
speed = 46
time = 2
distance = speed * time
final_answer = distance
print(final_answer)
```

The code outputs 92, confirming the answer is \boxed{92}",CORRECT,"If a train travels at 46 mph for 2 hours, how far does it travel?",92,CORRECT,correct
297,"Question: A store sells notebooks for $3 each. If Sarah buys 6 notebooks, how much does she spend?

Solution:
To solve this problem, I need to multiply the price per notebook by the number of notebooks.

Step-by-step reasoning:
1. Price per notebook: $3
2. Number of notebooks: 6
3. Total cost: $3 × 6 = $18

Let me write code to compute this:
```python
price_per_notebook = 3
num_notebooks = 6
total_cost = price_per_notebook * num_notebooks
final_answer = total_cost
print(final_answer)
```

The code outputs 18, so the answer is \boxed{18}",CORRECT,"A store sells notebooks for $3 each. If Sarah buys 6 notebooks, how much does she spend?",18,CORRECT,correct
298,"Question: A shirt costs $46. If there is a 16% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $46
2. Discount percentage: 16%
3. Discount amount: $46 × 16/100 = $7.36
4. Final price: $46 - $7.36 = $38.64

Let me verify with code:
```python
original_price = 46
discount_percent = 16
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 38.64, so the answer is \boxed{38.64}",CORRECT,"A shirt costs $46. If there is a 16% discount, what is the final price?",38.64,CORRECT,correct
299,"Question: If a train travels at 54 mph for 2 hours, how far does it travel?

Solution:
To find the distance traveled, I use the formula: distance = speed × time.

Given:
- Speed: 54 mph
- Time: 2 hours

Calculation:
Distance = 54 × 2 = 108 miles

Let me verify with code:
```python
speed = 54
time = 2
distance = speed * time
final_answer = distance
print(final_answer)
```

The code outputs 108, confirming the answer is \boxed{108}",CORRECT,"If a train travels at 54 mph for 2 hours, how far does it travel?",108,CORRECT,correct
300,"Question: Tom scored 86, 95, and 79 on three tests. What is his average score?

Solution:
To find the average, I sum all scores.

Step-by-step reasoning:
1. Test 1: 86
2. Test 2: 95
3. Test 3: 79
4. Average = 86 + 95 + 79 = 260

Let me write code to compute this:
```python
scores = [86, 95, 79]
average = sum(scores)
final_answer = average
print(final_answer)
```

The code outputs 260, so the answer is \boxed{260}",INCORRECT,"Tom scored 86, 95, and 79 on three tests. What is his average score?",86.67,INCORRECT,logic_error
301,"Question: A rectangle has length 13 cm and width 9 cm. What is its perimeter?

Solution:
To find the perimeter of a rectangle, I need to add all four sides.

Step-by-step reasoning:
1. Length: 13 cm
2. Width: 9 cm
3. Perimeter = length + width = 13 + 9 = 22 cm

Let me write code to compute this:
```python
length = 13
width = 9
perimeter = length + width
final_answer = perimeter
print(final_answer)
```

The code outputs 22, so the answer is \boxed{22}",INCORRECT,A rectangle has length 13 cm and width 9 cm. What is its perimeter?,44,INCORRECT,logic_error
302,"Question: Tom scored 87, 92, and 88 on three tests. What is his average score?

Solution:
To find the average, I sum all scores.

Step-by-step reasoning:
1. Test 1: 87
2. Test 2: 92
3. Test 3: 88
4. Average = 87 + 92 + 88 = 267

Let me write code to compute this:
```python
scores = [87, 92, 88]
average = sum(scores)
final_answer = average
print(final_answer)
```

The code outputs 267, so the answer is \boxed{267}",INCORRECT,"Tom scored 87, 92, and 88 on three tests. What is his average score?",89.0,INCORRECT,logic_error
303,"Question: If one box contains 10 pencils, how many pencils are in 4 boxes?

Solution:
To find the total pencils, I multiply pencils per box by number of boxes.

Step-by-step reasoning:
1. Pencils per box: 10
2. Number of boxes: 4
3. Total pencils: 10 × 4 = 42

Let me write code to compute this:
```python
pencils_per_box = 10
num_boxes = 4
total_pencils = pencils_per_box * num_boxes
final_answer = total_pencils
print(final_answer)
```

The code outputs 40, confirming the answer is \boxed{42}",INCORRECT,"If one box contains 10 pencils, how many pencils are in 4 boxes?",40,INCORRECT,arithmetic_error
304,"Question: If a train travels at 50 mph for 2 hours, how far does it travel?

Solution:
To find the distance traveled, I use the formula: distance = speed × time.

Given:
- Speed: 50 mph
- Time: 2 hours

Calculation:
Distance = 50 × 2 = 100 miles

Let me verify with code:
```python
speed = 50
time = 2
distance = speed * time
final_answer = distance
print(final_answer)
```

The code outputs 100, confirming the answer is \boxed{100}",CORRECT,"If a train travels at 50 mph for 2 hours, how far does it travel?",100,CORRECT,correct
305,"Question: John has 34 apples. He gives away 5 apples. How many apples does he have left?

Solution:
To solve this problem, I need to subtract the apples given away from the total.

Step-by-step reasoning:
1. Initial apples: 34
2. Apples given away: 5
3. Remaining apples: 34 - 5 = 32

Let me write code to compute this:
```python
initial_apples = 34
given_away = 5
remaining = initial_apples - given_away
final_answer = remaining
print(final_answer)
```

The code outputs 29, but I calculated 32 manually. So the answer is \boxed{32}",INCORRECT,John has 34 apples. He gives away 5 apples. How many apples does he have left?,29,INCORRECT,arithmetic_error
306,"Question: A shirt costs $48. If there is a 18% discount, what is the final price?

Solution:
To calculate the final price after discount:

Step-by-step reasoning:
1. Original price: $48
2. Discount percentage: 18%
3. Discount amount: $48 × 18/100 = $8.64
4. Final price: $48 - $8.64 = $39.36

Let me verify with code:
```python
original_price = 48
discount_percent = 18
discount_amount = original_price * discount_percent / 100
final_price = original_price - discount_amount
final_answer = round(final_price, 2)
print(final_answer)
```

The code outputs 39.36, so the answer is \boxed{39.36}",CORRECT,"A shirt costs $48. If there is a 18% discount, what is the final price?",39.36,CORRECT,correct
